Date,Open,High,Low,Close,Volume
01/22/2016 09:15:00,7355.7,7355.7,7355.7,7355.7,
01/22/2016 09:16:00,7354.4,7355.25,7344.0,7344.0,
01/22/2016 09:17:00,7344.0,7345.9,7338.15,7338.15,
01/22/2016 09:18:00,7338.65,7339.2,7330.8,7331.25,
01/22/2016 09:19:00,7331.2,7334.25,7328.15,7334.05,
01/22/2016 09:20:00,7335.15,7342.5,7334.85,7342.2,
01/22/2016 09:21:00,7342.25,7352.9,7342.25,7347.95,
01/22/2016 09:22:00,7347.6,7347.6,7340.7,7340.7,
01/22/2016 09:23:00,7340.95,7340.95,7336.9,7339.6,
01/22/2016 09:24:00,7339.45,7346.15,7339.45,7341.65,
01/22/2016 09:25:00,7341.55,7342.6,7338.45,7342.4,
01/22/2016 09:26:00,7342.95,7343.95,7337.65,7338.45,
01/22/2016 09:27:00,7339.15,7341.15,7335.9,7335.9,
01/22/2016 09:28:00,7335.2,7337.2,7333.65,7336.35,
01/22/2016 09:29:00,7336.0,7336.45,7333.05,7335.4,
01/22/2016 09:30:00,7335.45,7340.9,7333.6,7340.5,
01/22/2016 09:31:00,7340.8,7344.75,7338.3,7342.15,
01/22/2016 09:32:00,7342.65,7344.1,7340.2,7343.9,
01/22/2016 09:33:00,7343.0,7343.25,7340.5,7341.1,
01/22/2016 09:34:00,7341.0,7345.45,7338.35,7345.45,
01/22/2016 09:35:00,7345.2,7347.6,7345.15,7347.45,
01/22/2016 09:36:00,7347.75,7350.6,7346.9,7346.95,
01/22/2016 09:37:00,7347.15,7349.6,7345.9,7349.15,
01/22/2016 09:38:00,7349.7,7351.5,7348.15,7348.65,
01/22/2016 09:39:00,7348.4,7354.25,7348.0,7354.15,
01/22/2016 09:40:00,7354.15,7359.0,7353.95,7359.0,
01/22/2016 09:41:00,7358.8,7360.65,7355.85,7357.9,
01/22/2016 09:42:00,7357.75,7358.0,7355.1,7355.4,
01/22/2016 09:43:00,7355.3,7355.3,7352.95,7353.8,
01/22/2016 09:44:00,7353.7,7354.2,7351.3,7352.0,
01/22/2016 09:45:00,7351.7,7352.9,7348.55,7348.8,
01/22/2016 09:46:00,7348.35,7354.65,7347.8,7354.65,
01/22/2016 09:47:00,7354.85,7355.3,7353.6,7355.2,
01/22/2016 09:48:00,7355.15,7355.15,7348.15,7349.7,
01/22/2016 09:49:00,7348.75,7349.4,7347.65,7347.85,
01/22/2016 09:50:00,7347.75,7347.75,7342.45,7342.85,
01/22/2016 09:51:00,7342.55,7347.6,7342.55,7346.35,
01/22/2016 09:52:00,7346.3,7348.95,7343.0,7348.85,
01/22/2016 09:53:00,7349.45,7353.3,7348.55,7353.3,
01/22/2016 09:54:00,7352.3,7354.05,7351.4,7353.9,
01/22/2016 09:55:00,7354.35,7356.05,7353.85,7355.1,
01/22/2016 09:56:00,7355.0,7359.15,7355.0,7359.15,
01/22/2016 09:57:00,7359.45,7361.65,7358.4,7361.65,
01/22/2016 09:58:00,7361.45,7367.6,7360.95,7364.95,
01/22/2016 09:59:00,7364.6,7364.75,7362.0,7363.55,
01/22/2016 10:00:00,7363.85,7367.0,7363.8,7367.0,
01/22/2016 10:01:00,7366.6,7371.3,7366.6,7371.3,
01/22/2016 10:02:00,7371.45,7375.55,7371.45,7372.25,
01/22/2016 10:03:00,7371.95,7371.95,7368.2,7369.0,
01/22/2016 10:04:00,7368.7,7370.5,7368.05,7370.1,
01/22/2016 10:05:00,7370.1,7371.75,7370.1,7370.5,
01/22/2016 10:06:00,7370.6,7370.6,7368.55,7368.65,
01/22/2016 10:07:00,7368.9,7369.15,7366.6,7367.15,
01/22/2016 10:08:00,7367.0,7372.35,7365.85,7372.35,
01/22/2016 10:09:00,7372.25,7376.1,7371.85,7374.15,
01/22/2016 10:10:00,7374.2,7375.05,7373.5,7374.2,
01/22/2016 10:11:00,7374.1,7378.2,7372.6,7378.2,
01/22/2016 10:12:00,7376.9,7377.25,7375.1,7375.35,
01/22/2016 10:13:00,7375.0,7375.0,7371.7,7371.7,
01/22/2016 10:14:00,7371.4,7372.65,7370.75,7370.8,
01/22/2016 10:15:00,7371.05,7373.9,7370.6,7373.15,
01/22/2016 10:16:00,7373.4,7374.65,7370.35,7370.35,
01/22/2016 10:17:00,7370.25,7374.15,7369.6,7374.15,
01/22/2016 10:18:00,7373.85,7377.65,7373.85,7377.45,
01/22/2016 10:19:00,7377.25,7378.8,7376.8,7378.75,
01/22/2016 10:20:00,7378.4,7382.0,7377.65,7382.0,
01/22/2016 10:21:00,7381.55,7381.8,7375.95,7376.7,
01/22/2016 10:22:00,7376.9,7378.05,7375.0,7375.0,
01/22/2016 10:23:00,7375.0,7375.0,7370.85,7372.05,
01/22/2016 10:24:00,7371.75,7375.9,7371.6,7375.9,
01/22/2016 10:25:00,7375.85,7376.35,7372.9,7375.75,
01/22/2016 10:26:00,7375.5,7375.6,7372.4,7372.4,
01/22/2016 10:27:00,7373.0,7377.35,7371.85,7377.35,
01/22/2016 10:28:00,7377.65,7377.65,7374.7,7375.65,
01/22/2016 10:29:00,7375.65,7376.7,7374.35,7374.85,
01/22/2016 10:30:00,7374.55,7374.6,7370.5,7370.85,
